IRIS,total_population,elderly_55_plus,pct_elderly_55,elderly_55_plus_alone,pct_elderly_55_alone
751124621,2633.83406505318,631.9339525976168,23.99,199.7116767891245,31.6
751124622,1823.29563372406,580.0113083438711,31.81,194.3403684655373,33.51
751124623,2228.95557753881,762.801593758038,34.22,295.6204346035023,38.75
751124624,1870.02768716837,733.287294050143,39.21,230.7022837583099,31.46
751124677,761.884195378222,91.54734320305977,12.02,1.12651175562187,1.23
751124701,2364.07662271037,689.4549773512678,29.16,148.2207158846904,21.5
751124702,2403.08305467815,761.7996391955007,31.7,205.251635631808,26.94
751124703,2197.43460555358,658.400849286411,29.96,263.6289796236245,40.04
751124704,2001.20753825599,789.037922930967,39.43,252.424973538628,31.99
751124705,2967.94950676298,840.8453550266751,28.33,311.6752019339011,37.07
751124706,0.0,0.0,,0.0,
751124707,355.765648069697,146.6893561675999,41.23,76.4111340233318,52.09
751124708,202.000367466589,27.33338305653523,13.53,0.0,0.0
751124799,0.0,0.0,,0.0,
751124801,2870.70165600307,759.470406147982,26.46,378.43223433628503,49.83
751124802,1866.52691473195,666.5538495997922,35.71,124.01033666560619,18.6
751124803,2128.32103255718,568.3163480820363,26.7,207.49058424478932,36.51
751124804,2098.8733297527,577.463542413399,27.51,192.8612693745411,33.4
751124805,1583.9733228966,423.5123416114174,26.74,183.2581663736981,43.27
751124806,2060.05932900418,709.7248787775126,34.45,254.9244593632782,35.92
751124807,2527.27618912935,802.214121971664,31.74,390.29831616921797,48.65
751124808,1939.80580966902,710.957278968035,36.65,228.76763161129378,32.18
751124809,1950.67199471839,536.1171236298082,27.48,264.6738592593784,49.37
751124810,2721.26964244864,769.904833028368,28.29,256.4971381915264,33.32
751124811,0.0,0.0,,0.0,
751124812,802.455695190499,300.4115953101047,37.44,110.25919229678091,36.7
751124813,385.271264647369,80.1601978843571,20.81,39.140099992954156,48.83
751124888,0.0,0.0,,0.0,
751124899,0.0,0.0,,0.0,
751134901,2458.93215208167,925.5131984758569,37.64,331.181121096409,35.78
751134902,2779.70580311286,1020.897592698142,36.73,362.9208764887621,35.55
751134903,1725.1835915719,578.032821725118,33.51,294.5303607034242,50.95
751134904,1464.69049110931,425.05525546245593,29.02,204.9252405796254,48.21
751134905,2395.6391622845,704.395358083344,29.4,315.3311007563995,44.77
751134906,2099.32436667287,786.540418331941,37.47,285.85978152677,36.34
751134907,1711.79445089145,526.9363421389778,30.78,206.6305529328768,39.21
751134908,724.831863310366,196.10531831597285,27.06,55.950863962947,28.53
751134999,0.0,0.0,,0.0,
751135001,1815.92203156559,577.4839765498191,31.8,306.0074570940513,52.99
751135002,1705.40863425119,750.7887350377621,44.02,400.84885221766126,53.39
751135003,3310.8570560253,1437.281338007083,43.41,518.372056718122,36.07
751135004,1921.50149944384,706.8603641403149,36.79,166.9830300900902,23.62
751135005,2610.14759880575,872.226492290831,33.42,330.7362387819146,37.92
